starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 26 09:40:17 2021	1627288817	323	419	742	88
Mon Jul 26 09:40:15 2021	1627288815	478	269	746	120
Mon Jul 26 09:40:16 2021	1627288816	382	367	748	269
Mon Jul 26 09:40:16 2021	1627288816	513	239	752	154
Mon Jul 26 09:40:15 2021	1627288815	585	168	753	91
Mon Jul 26 09:40:15 2021	1627288815	529	230	759	121
Mon Jul 26 09:40:11 2021	1627288811	618	142	759	104
Mon Jul 26 09:40:16 2021	1627288816	495	265	760	244
Mon Jul 26 09:40:17 2021	1627288817	443	318	761	195
Mon Jul 26 09:40:14 2021	1627288814	534	232	766	189
Mon Jul 26 09:40:16 2021	1627288816	396	371	767	284
Mon Jul 26 09:40:16 2021	1627288816	385	384	769	185
Mon Jul 26 09:40:14 2021	1627288814	395	376	771	190
Mon Jul 26 09:40:16 2021	1627288816	403	368	771	274
Mon Jul 26 09:40:15 2021	1627288815	383	389	772	287
Mon Jul 26 09:40:15 2021	1627288815	582	190	773	117
Mon Jul 26 09:40:16 2021	1627288816	545	229	773	213
Mon Jul 26 09:40:17 2021	1627288817	458	319	778	250
Mon Jul 26 09:40:15 2021	1627288815	563	215	778	123
Mon Jul 26 09:40:14 2021	1627288814	604	178	782	81
Mon Jul 26 09:40:17 2021	1627288817	450	338	787	217
Mon Jul 26 09:40:17 2021	1627288817	367	421	788	110
Mon Jul 26 09:40:16 2021	1627288816	523	267	790	184
Mon Jul 26 09:40:15 2021	1627288815	532	263	795	105
Mon Jul 26 09:40:16 2021	1627288816	581	219	800	152
Mon Jul 26 09:40:15 2021	1627288815	470	331	802	177
Mon Jul 26 09:40:17 2021	1627288817	563	242	806	139
Mon Jul 26 09:40:14 2021	1627288814	524	283	807	150
Mon Jul 26 09:40:15 2021	1627288815	428	387	816	267
Mon Jul 26 09:40:13 2021	1627288813	728	91	819	68
Mon Jul 26 09:40:17 2021	1627288817	373	447	820	357
Mon Jul 26 09:40:17 2021	1627288817	377	446	824	324
Mon Jul 26 09:40:14 2021	1627288814	418	418	835	377
Mon Jul 26 09:40:15 2021	1627288815	254	584	838	306
Mon Jul 26 09:40:15 2021	1627288815	230	608	838	444
Mon Jul 26 09:40:15 2021	1627288815	476	365	841	199
Mon Jul 26 09:40:17 2021	1627288817	402	445	847	322
Mon Jul 26 09:40:15 2021	1627288815	627	224	851	118
Mon Jul 26 09:40:15 2021	1627288815	459	392	851	208
